"store_key","store_name","area_id","address","station_exit","latitude","longitude","geocode_status","open_hours","store_info_source_url","tabelog_url","drink_source_url","drink_category","matched_item_name","price_yen","price_basis","tax_status","confidence","collected_at","verification_status","notes"
"nakano-maki","熟成地鶏と溶岩焼き 万喜 ～まき～","AREA-NAKANO","東京都中野区中野5-52-4","中野駅 徒歩4分","","","needs_geocode","17:00-23:00","https://r.gnavi.co.jp/kd8ryfrw0000/","https://s.tabelog.com/tokyo/A1319/A131902/13048958/","https://r.gnavi.co.jp/kd8ryfrw0000/menu3/","highball","ハイボール","432","標準サイズ","not_explicit_on_drink_source","high","2026-06-10","source_checked",""
"nakano-maki","熟成地鶏と溶岩焼き 万喜 ～まき～","AREA-NAKANO","東京都中野区中野5-52-4","中野駅 徒歩4分","","","needs_geocode","17:00-23:00","https://r.gnavi.co.jp/kd8ryfrw0000/","https://s.tabelog.com/tokyo/A1319/A131902/13048958/","https://r.gnavi.co.jp/kd8ryfrw0000/menu3/","beer","生ビール（ハートランド）","486","生ビール","not_explicit_on_drink_source","high","2026-06-10","source_checked",""
"nakano-maki","熟成地鶏と溶岩焼き 万喜 ～まき～","AREA-NAKANO","東京都中野区中野5-52-4","中野駅 徒歩4分","","","needs_geocode","17:00-23:00","https://r.gnavi.co.jp/kd8ryfrw0000/","https://s.tabelog.com/tokyo/A1319/A131902/13048958/","https://r.gnavi.co.jp/kd8ryfrw0000/menu3/","lemon_sour","レモンサワー","411","標準サイズ","not_explicit_on_drink_source","high","2026-06-10","source_checked","生搾りレモンサワーは432円"
"nakano-alekore","隠れ家Bistroアレコレ 中野店","AREA-NAKANO","東京都中野区中野5-36-6 1F","中野駅 北口 徒歩4分","","","needs_geocode","月-金祝前17:00-05:00; 土日祝12:00-05:00","https://yotteba-nakano.owst.jp/","https://tabelog.com/tokyo/A1319/A131902/13161200/","https://r.gnavi.co.jp/hwwjbxrw0000/menu4/","highball","角ハイボール","390","標準サイズ","not_explicit_on_drink_source","high","2026-06-10","source_checked",""
"nakano-alekore","隠れ家Bistroアレコレ 中野店","AREA-NAKANO","東京都中野区中野5-36-6 1F","中野駅 北口 徒歩4分","","","needs_geocode","月-金祝前17:00-05:00; 土日祝12:00-05:00","https://yotteba-nakano.owst.jp/","https://tabelog.com/tokyo/A1319/A131902/13161200/","https://r.gnavi.co.jp/hwwjbxrw0000/menu4/","beer","プレミアムモルツ","490","ビール","not_explicit_on_drink_source","high","2026-06-10","source_checked",""
"nakano-alekore","隠れ家Bistroアレコレ 中野店","AREA-NAKANO","東京都中野区中野5-36-6 1F","中野駅 北口 徒歩4分","","","needs_geocode","月-金祝前17:00-05:00; 土日祝12:00-05:00","https://yotteba-nakano.owst.jp/","https://tabelog.com/tokyo/A1319/A131902/13161200/","https://r.gnavi.co.jp/hwwjbxrw0000/menu4/","lemon_sour","レモンサワー","490","標準サイズ","not_explicit_on_drink_source","high","2026-06-10","source_checked",""
"nakano-torikizoku-kitakuchi","鳥貴族 中野北口店","AREA-NAKANO","東京都中野区中野5-59-12 201","中野駅 北口 徒歩約150m","","","needs_geocode","16:00-04:00","https://map.torikizoku.co.jp/detail/48/","https://tabelog.com/tokyo/A1319/A131902/13089740/","https://r.gnavi.co.jp/npfgevez0000/menu3/","highball","角ハイボール","390","全品均一価格","explicit_tax_included_on_drink_source","high","2026-06-10","source_checked","全品390円税込"
"nakano-torikizoku-kitakuchi","鳥貴族 中野北口店","AREA-NAKANO","東京都中野区中野5-59-12 201","中野駅 北口 徒歩約150m","","","needs_geocode","16:00-04:00","https://map.torikizoku.co.jp/detail/48/","https://tabelog.com/tokyo/A1319/A131902/13089740/","https://r.gnavi.co.jp/npfgevez0000/menu3/","beer","ザ・プレミアム・モルツ","390","全品均一価格","explicit_tax_included_on_drink_source","high","2026-06-10","source_checked","全品390円税込"
"nakano-torikizoku-kitakuchi","鳥貴族 中野北口店","AREA-NAKANO","東京都中野区中野5-59-12 201","中野駅 北口 徒歩約150m","","","needs_geocode","16:00-04:00","https://map.torikizoku.co.jp/detail/48/","https://tabelog.com/tokyo/A1319/A131902/13089740/","https://r.gnavi.co.jp/npfgevez0000/menu3/","lemon_sour","こだわり酒場のレモンサワー","390","全品均一価格","explicit_tax_included_on_drink_source","high","2026-06-10","source_checked","全品390円税込"
"nakano-gindaco-sunmall","銀だこハイボール酒場 サンモール中野店","AREA-NAKANO","東京都中野区中野5-63-3","中野駅 北口 徒歩1分","","","needs_geocode","月-木11:00-23:00; 金11:00-23:30; 土日10:00-23:00","https://stores.gindaco.com/detail/1010026/","https://tabelog.com/tokyo/A1319/A131902/13012880/","https://r.gnavi.co.jp/649u7nz70000/menu5/?sc_cid=gorp_menu_all_menu5","highball","ジムビームハイボール","418","標準サイズの最安候補","not_explicit_on_drink_source","high","2026-06-10","source_checked","角ハイボールは495円"
"nakano-gindaco-sunmall","銀だこハイボール酒場 サンモール中野店","AREA-NAKANO","東京都中野区中野5-63-3","中野駅 北口 徒歩1分","","","needs_geocode","月-木11:00-23:00; 金11:00-23:30; 土日10:00-23:00","https://stores.gindaco.com/detail/1010026/","https://tabelog.com/tokyo/A1319/A131902/13012880/","https://r.gnavi.co.jp/649u7nz70000/menu5/?sc_cid=gorp_menu_all_menu5","beer","ザ・プレミアムモルツ","605","生ビール","not_explicit_on_drink_source","high","2026-06-10","source_checked",""
"nakano-gindaco-sunmall","銀だこハイボール酒場 サンモール中野店","AREA-NAKANO","東京都中野区中野5-63-3","中野駅 北口 徒歩1分","","","needs_geocode","月-木11:00-23:00; 金11:00-23:30; 土日10:00-23:00","https://stores.gindaco.com/detail/1010026/","https://tabelog.com/tokyo/A1319/A131902/13012880/","https://r.gnavi.co.jp/649u7nz70000/menu5/?sc_cid=gorp_menu_all_menu5","lemon_sour","こだわり酒場 レモンサワー","429","標準サイズ","not_explicit_on_drink_source","high","2026-06-10","source_checked",""
"nakano-toriyasu","鳥やす 中野店","AREA-NAKANO","東京都中野区中野5-59-12 中島ビル1～3F","中野駅 徒歩3分","","","needs_geocode","月-金17:00-23:30; 土12:00-23:30; 日祝12:00-21:00","https://r.gnavi.co.jp/phca5t2s0000/","https://tabelog.com/tokyo/A1319/A131902/13172479/","https://r.gnavi.co.jp/phca5t2s0000/menu3/","beer","生ビール","440","中ジョッキ","not_explicit_on_drink_source","high","2026-06-10","source_checked",""
"nakano-toriyasu","鳥やす 中野店","AREA-NAKANO","東京都中野区中野5-59-12 中島ビル1～3F","中野駅 徒歩3分","","","needs_geocode","月-金17:00-23:30; 土12:00-23:30; 日祝12:00-21:00","https://r.gnavi.co.jp/phca5t2s0000/","https://tabelog.com/tokyo/A1319/A131902/13172479/","https://r.gnavi.co.jp/phca5t2s0000/menu3/","lemon_sour","レモンサワー","418","標準サイズ","not_explicit_on_drink_source","high","2026-06-10","source_checked","ハイボールは価格表記が曖昧なため未採用"
"nakano-gyoza-sakaba-24h","24時間 餃子酒場 中野店","AREA-NAKANO","東京都中野区中野5-59-10 GCIIビル B1","中野駅 北口 徒歩3-5分","","","needs_geocode","24時間営業","https://gyouzasakaba-nakano.com/store-information/","https://s.tabelog.com/tokyo/A1319/A131902/13263321/","https://r.gnavi.co.jp/rtrsg0w80000/menu2/","highball","餃子酒場ハイボール","350","標準サイズ","not_explicit_on_drink_source","high","2026-06-10","source_checked",""
"nakano-gyoza-sakaba-24h","24時間 餃子酒場 中野店","AREA-NAKANO","東京都中野区中野5-59-10 GCIIビル B1","中野駅 北口 徒歩3-5分","","","needs_geocode","24時間営業","https://gyouzasakaba-nakano.com/store-information/","https://s.tabelog.com/tokyo/A1319/A131902/13263321/","https://r.gnavi.co.jp/rtrsg0w80000/menu2/","beer","サッポロ生ビール 黒ラベル","350","生ビール","not_explicit_on_drink_source","high","2026-06-10","source_checked",""
"nakano-gyoza-sakaba-24h","24時間 餃子酒場 中野店","AREA-NAKANO","東京都中野区中野5-59-10 GCIIビル B1","中野駅 北口 徒歩3-5分","","","needs_geocode","24時間営業","https://gyouzasakaba-nakano.com/store-information/","https://s.tabelog.com/tokyo/A1319/A131902/13263321/","https://r.gnavi.co.jp/rtrsg0w80000/menu2/","lemon_sour","パンチレモンサワー","350","サワー各種の同一価格","not_explicit_on_drink_source","medium","2026-06-10","source_checked","サワー各種350円にパンチレモンサワーを含む"
"nakano-enya","鮨のえん屋 中野北口店","AREA-NAKANO","東京都中野区中野5-60-15 岩間ビル1・2F","中野駅 北口 徒歩3分","","","needs_geocode","月-木11:30-14:30/17:00-24:00; 金17:00-04:30; 土11:30-04:30; 日祝11:30-23:00","https://enya-nakano.owst.jp/","https://s.tabelog.com/tokyo/A1319/A131902/13013566/","https://r.gnavi.co.jp/a195100/menu4/","highball","ブラックニッカハイボール","539","標準サイズ","not_explicit_on_drink_source","high","2026-06-10","source_checked",""
"nakano-enya","鮨のえん屋 中野北口店","AREA-NAKANO","東京都中野区中野5-60-15 岩間ビル1・2F","中野駅 北口 徒歩3分","","","needs_geocode","月-木11:30-14:30/17:00-24:00; 金17:00-04:30; 土11:30-04:30; 日祝11:30-23:00","https://enya-nakano.owst.jp/","https://s.tabelog.com/tokyo/A1319/A131902/13013566/","https://r.gnavi.co.jp/a195100/menu4/","beer","生ビール","605","生ビール","not_explicit_on_drink_source","high","2026-06-10","source_checked",""
"nakano-enya","鮨のえん屋 中野北口店","AREA-NAKANO","東京都中野区中野5-60-15 岩間ビル1・2F","中野駅 北口 徒歩3分","","","needs_geocode","月-木11:30-14:30/17:00-24:00; 金17:00-04:30; 土11:30-04:30; 日祝11:30-23:00","https://enya-nakano.owst.jp/","https://s.tabelog.com/tokyo/A1319/A131902/13013566/","https://r.gnavi.co.jp/a195100/menu4/","lemon_sour","はちみつレモンサワー","539","サワー各種の同一価格","not_explicit_on_drink_source","medium","2026-06-10","source_checked","元祖生レモンサワーは572円"
